id	ean	category	quantity	notsent	name	cnName	lastWeek
500	4250755335445	DS-Duschstangen	67	3	KBA02	KBA02	10|3|1|1|1
501	4250755335452	Deleted-element	0	0	KBA03	KBA03	0|0|0|0|0
502	4250755335469	Deleted-element	0	0	KBA04	KBA04	0|0|0|0|0
503	4250755335384	Deleted-element	0	0	RDK16	P818F-25	0|0|0|0|0
504	4250755335391	Deleted-element	0	0	RDK17	P818F-30	0|0|0|0|0
505	4250755335421	Deleted-element	0	0	RDK20	P818F-34	0|0|0|0|0
506	4250755335339	Deleted-element	0	0	RDK11	DP806-25	0|0|0|0|0
507	4250755335346	Deleted-element	0	0	RDK12	DP806-30	0|0|0|0|0
508	4250755335353	Deleted-element	0	0	RDK13	DP806-35	0|0|0|0|0
509	4250755335360	Deleted-element	0	0	RDK14	DP806-40	0|0|0|0|0
511	4250755335407	Deleted-element	0	0	RDK18	P818F-40	0|0|0|0|0
512	4250755335414	Deleted-element	0	0	RDK19	P818F-50	0|0|0|0|0
513	4250755335377	DS-Duschkopf	5	0	RDK15	DP806-50	0|0|0|0|0
515	4250755330426	WB-Keramik	21	0	Brüssel323	CH323/323	15|4|2|0|0
517	4250755307282	Deleted-element	0	0	Francfort01/WA28	93801	0|0|0|0|0
521	4250755304199	Deleted-element	0	0	Colonia07	DU07/95807	0|0|0|0|0
522	4250755335636	DS-Duschstangen	34	1	KBA05	KBA05	6|3|2|2|0
523	4250755326207	Deleted-element	0	0	DS17	DS17	0|0|0|0|0
525	4250755335742	Deleted-element	0	0	PG01 600	600	0|0|0|0|0
526	4250755335759	Deleted-element	0	0	PG01 700	700	0|0|0|0|0
527	4250755335766	Deleted-element	1	0	PG01 800	800	0|0|0|0|0
528	4250755335773	Deleted-element	0	0	PG01 900	900	0|0|0|0|0
529	4250755335780	Deleted-element	0	0	PG01 1000	1000	0|0|0|0|0
536	4250755335797	DS-Duschrinne	0	0	TG01 600mm	600	0|0|0|0|0
537	4250755335803	DS-Duschrinne	0	0	TG01 700mm	700	0|0|0|0|0
538	4250755335810	DS-Duschrinne	0	0	TG01 800mm	800	0|0|0|0|0
539	4250755335827	DS-Duschrinne	0	0	TG01 900mm	900	0|0|0|0|0
540	4250755335834	DS-Duschrinne	0	0	TG01 1000mm	1000	0|0|0|0|0
545	4250755336060	Deleted-element	0	0	RDK21	DP806-20	0|0|0|0|0
546	4250755335896	DS-Duschkopf	0	0	RDK22	P818F-20	0|0|0|0|0
547	4250755330518	WB-Keramik	13	3	Brüssel118C	CH118C/118C    	26|7|5|3|0
